img,name,name_retail,name_scientific,price,desc_ar,desc_en
,,,,,,
,,,,,,
img,name,name_retail,name_scientific,price,desc_ar,desc_en
data/medicine/15183.png,"هيومان البومين 20%
                ", Human albumin 20 % behring (low salt) - هيومان البومين 20%, Human albumin,"                                  545.00 جنيها
                                                  
                ","حول الألبومين البشري,
مادة نقل جزء بروتين البلازما البشرية في نقص ألبومين الدم.,
,
آلية عمل الألبومين البشري,
الألبومين البشري هو محلول مائي للبروتينات المجمدة التي يتم الحصول عليها من مصل البلازما أو المشيمة المخصصة للإعطاء عن طريق الوريد.,
,
مؤشرات الألبومين البشري,
1. صرف البلازما,
2. صدمة نقص حجم الدم,
3. الحروق النزف الدموي المعياري,
4. اليرقان الوليدي,
,
الجرعة النموذجية لألبومين الإنسان,
مثال:,
صدمة:,
البالغون: 100 الى 200 مل.,
الأطفال: من 1 إلى 2 مل / كجم من وزن الجسم.,
الحروق: في البداية 200 إلى 400 مل ؛ في اليوم الأول متبوعًا بـ 100 إلى 200 مل. أو 2 إلى 4 مل / كجم من وزن الجسم.,
اليرقان الوليدي: 10 إلى 15 مل مع تبادل الدم. لا تتجاوز 20 نقطة / دقيقة.","Human albumin,
human plasma protein fraction   transfusion material in hypoalbuminemia.,
,
mechanism of action of human albumin,
human albumin is an aqueous solution of frozen proteins obtained from plasma   serum   or placenta meant for intravenous administration.,
,
indications for human albumin,
,
1.,
plasma exchange ,
,
2.,
hypovolaemic shock ,
,
3.,
normovolaemic haemodilution burns ,
,
4.,
neonatal jaundice ,
,
typical dosage for human albumin,
i.v.: ,
shock: ,
adults: 100 to 200ml.,
,
children: 1 to 2ml/kg body weight.,
,
burns: initially 200 to 400ml; on 1st day followed by 100 to 200ml.,
or 2 to 4ml/kg body weight.,
,
neonatal jaundice: 10 to 15ml with exchange transfusion.,
do not exceed 20 drops/minute."
data/medicine/783.png,"هيكساجبالين ١٥٠ مجم ٣٠ كبسولة
                ", Hexgabalin 150mg 30 caps - هيكساجبالين ١٥٠ مجم ٣٠ كبسولة, Pregabalin,"                                  120.00 جنيها
                                                  
                ",Hexgabalinis أشار إلى إدارة آلام الأعصاب. الألم الناجم عن تلف الأعصاب في مرضى السكري (اعتلال الأعصاب السكري) ، الهربس النطاقي (ألم عصبي ما بعد الهربس) ، أو ألم الأعصاب المصاحب لإصابة الحبل الشوكي.,"Hexgabalinis indicated for the management of neuropathic pain; pain caused by the nerve damage in people with diabetes (diabetic neuropathy), herpes zoster (post-herpetic neuralgia), or neuropathic pain associated with spinal cord injury."
data/medicine/703.png,"هيكسجبالين ٧٥ مجم ٣٠ كبسولة
                ", Hexgabalin 75 mg 30 caps - هيكسجبالين ٧٥ مجم ٣٠ كبسولة, Pregabalin,"                                  111.00 جنيها
                                                  
                ",Hexgabalinis أشار إلى إدارة آلام الأعصاب. الألم الناجم عن تلف الأعصاب في مرضى السكري (اعتلال الأعصاب السكري) ، الهربس النطاقي (ألم عصبي ما بعد الهربس) ، أو ألم الأعصاب المصاحب لإصابة الحبل الشوكي.,"Hexgabalinis indicated for the management of neuropathic pain; pain caused by the nerve damage in people with diabetes (diabetic neuropathy), herpes zoster (post-herpetic neuralgia), or neuropathic pain associated with spinal cord injury."
data/medicine/11569.png,"هيستوتيك ٨ مجم ٣٠ قرص
                ", Histotec 8 mg 30 f.c. tab - هيستوتيك ٨ مجم ٣٠ قرص, Betahistine,"                                  15.00 جنيها
                                                  
                ","تكوين,
كل قرص مغلفة  يحتوي على:,
Betahistine dihydrochloride ................................................ ............ 8 ملغ أو 16 ملغ,
المكونات الخاملة: لاكتوز ، أفيسيل ، بلاسيدون XL ، حامض دهني ، إيروسيل 200 ، بولي فينيل بيروليدون (K90).,
,
مؤشرات العلاجية,
الدوار ، طنين الأذن وفقدان السمع المرتبط بمتلازمة مينير.,
,
الجرعة و الإدارة,
البالغين (بما في ذلك كبار السن): في البداية 16 ملغ تؤخذ ثلاث مرات يوميا ويفضل مع وجبات الطعام. جرعات الصيانة عموما في المدى 24-48 ملغ يوميا.,
الأطفال: لا توصيات جرعة.,
,
موانع,
- فرط الحساسية للمادة الفعالة أو لأي من السواغات.,
-Phaeochromocytoma.,
,
المحاذير والإحتياطات,
ينصح الحذر في علاج المرضى الذين لديهم تاريخ من القرحة المعوية.,
وقد أظهرت التعصب السريري ل betahistine dihydrochloride في مرضى الربو القصبي في عدد قليل نسبيا من المرضى. يحتاج هؤلاء المرضى إلى مراقبة دقيقة أثناء العلاج.,
,
تفاعل الأدوية,
لم يتم إجراء دراسات التفاعل داخل الجسم الحي.,
استنادا إلى البيانات في المختبر لا يتوقع أي تثبيط في الجسم الحي على الانزيمات السيتوكروم P450.,
على الرغم من أن العداء بين ثنائي هيدروكلوريد بيتاهستين ومضادات الهيستامين يمكن توقعه على أساس نظري ، لم يتم الإبلاغ عن مثل هذه التفاعلات.,
,
الحمل والرضاعة,
حمل:,
لا توجد بيانات كافية من استخدام betahistine في النساء الحوامل.,
لا ينبغي استخدام بيتاهستين أثناء الحمل ما لم تكن هناك ضرورة واضحة.,
الرضاعة:,
ليس من المعروف ما إذا كان يتم إخراج betahistine في الحليب البشري. يجب موازنة أهمية العقار للأم مع فوائد التمريض والمخاطر المحتملة للطفل","Composition,
Each film coated tablet contains: ,
Betahistine dihydrochloride ............................................................ 8 mg or 16 mg ,
Inactive ingredients: Lactose, avicel, plasidone XL, stearic acid, aerosil 200, polyvinyl pyrolidone (K90).,
,
Therapeutic Indications,
Vertigo, tinnitus and hearing loss associated with Ménière's syndrome.,
,
Dosage and Administration,
Adults (including the elderly): Initially 16 mg three times daily taken preferably with meals. Maintenance doses are generally in the range 24-48 mg daily. ,
Children: No dosage recommendations.,
,
Contraindications,
-Hypersensitivity to the active substance or to any of the excipients. ,
-Phaeochromocytoma.,
,
Warnings and Precautions,
Caution is advised in the treatment of patients with a history of peptic ulcer. ,
Clinical intolerance to betahistine dihydrochloride in bronchial asthma patients has been shown in a relatively few patients. These patients need to be carefully monitored during the therapy.,
,
Drug Interactions,
No in-vivo interaction studies have been performed. ,
Based on in-vitro data no in-vivo inhibition on Cytochrome P450 enzymes is expected. ,
Although an antagonism between betahistine dihydrochloride and antihistamines could be expected on a theoretical basis, no such interactions have been reported.,
,
Pregnancy and Lactation,
Pregnancy: ,
There are no adequate data from the use of betahistine in pregnant women. ,
Betahistine should not be used during pregnancy unless clearly necessary. ,
Lactation: ,
It is not known whether betahistine is excreted in human milk. The importance of the drug to the mother should be weighed against the benefits of nursing and the potential risks for the child"
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAWkAAAGXBAMAAACDzbwUAAAAD1BMVEXq7PoyZGZghovT2+dJdXj0GPDNAAAACXBIWXMAAA7EAAAOxAGVKw4bAAAAzUlEQVR4nO3WsQ3CUBAFwR/QgIUboP8mHdghsghgxUkz6btgw1sLAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAODfvbbT8+36uNb9w/uK6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qzuzqe6q/QXVHdUd1R3VHdUd1Z3b1zP9a9e+p7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuzKwGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAmOgCSf74uSO16zwAAAABJRU5ErkJggg==","هيرسوستوب 11.5٪ كريم موضعي 15 جم
                ", Hirsustop 11.5 % topical cream 15 gm - هيرسوستوب 11.5٪ كريم موضعي 15 جم, Eflornithine,"                                  75.00 جنيها
                                                  
                ","يستخدم في علاج كثرة شعر الوجه (نمو الشعر الزائد) وكذلك في داء المثقبيات الأفريقي (مرض النوم). كريم الفلورنيثين هيدروكلوريد للاستخدام الموضعي مخصص للنساء اللواتي يعانين من كثرة الشعر في الوجه.,
eflornithine للحقن ضد مرض النوم","Used in treatment of facial hirsutism (excessive hair growth) as well as in african trypanosomiasis (sleeping sickness).eflornithine hydrochloride cream for topical application is meant for women suffering from facial hirsutism.,
eflornithine for injection against sleeping sickness."
"data:image/png;base64,iVBORw0KGgoAAAANSUhEUgAAAWkAAAGXBAMAAACDzbwUAAAAD1BMVEXq7PoyZGZghovT2+dJdXj0GPDNAAAACXBIWXMAAA7EAAAOxAGVKw4bAAAAzUlEQVR4nO3WsQ3CUBAFwR/QgIUboP8mHdghsghgxUkz6btgw1sLAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAODfvbbT8+36uNb9w/uK6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qzuzqe6q/QXVHdUd1R3VHdUd1Z3b1zP9a9e+p7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuqO6o7qjuzKwGAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAmOgCSf74uSO16zwAAAABJRU5ErkJggg==","هيرسوستوب 11.5٪ كريم موضعي 60 جم
                ", Hirsustop 11.5 % topical cream 60 gm - هيرسوستوب 11.5٪ كريم موضعي 60 جم, Eflornithine,"                                  300.00 جنيها
                                                  
                ","يستخدم في علاج كثرة شعر الوجه (نمو الشعر الزائد) وكذلك في داء المثقبيات الأفريقي (مرض النوم). كريم الفلورنيثين هيدروكلوريد للاستخدام الموضعي مخصص للنساء اللواتي يعانين من كثرة الشعر في الوجه.,
eflornithine للحقن ضد مرض النوم","Used in treatment of facial hirsutism (excessive hair growth) as well as in african trypanosomiasis (sleeping sickness).eflornithine hydrochloride cream for topical application is meant for women suffering from facial hirsutism.,
eflornithine for injection against sleeping sickness."
data/medicine/3338.png,"هيستوتيك ١٦ مجم ٢٠ قرص
                ", Histotec 16mg 20 f.c. tab - هيستوتيك ١٦ مجم ٢٠ قرص, Betahistine,"                                  19.00 جنيها
                                                  
                ","
كل قرص مغلفة الفيلم يحتوي على:,
Betahistine dihydrochloride ................................................ ............ 8 ملغ أو 16 ملغ,
المكونات الخاملة: لاكتوز ، أفيسيل ، بلاسيدون XL ، حامض دهني ، إيروسيل 200 ، بولي فينيل بيروليدون (K90).,
,
,
الدوار ، طنين الأذن وفقدان السمع المرتبط بمتلازمة مينير.,
,
,
البالغين (بما في ذلك كبار السن): في البداية 16 ملغ تؤخذ ثلاث مرات يوميا ويفضل مع وجبات الطعام. جرعات الصيانة عموما في المدى 24-48 ملغ يوميا.,
الأطفال: لا توصيات جرعة.,
,
,
- فرط الحساسية للمادة الفعالة أو لأي من السواغات.,
-Phaeochromocytoma.,
,
,
ينصح الحذر في علاج المرضى الذين لديهم تاريخ من القرحة المعوية.,
وقد أظهرت التعصب السريري ل betahistine dihydrochloride في مرضى الربو القصبي في عدد قليل نسبيا من المرضى. يحتاج هؤلاء المرضى إلى مراقبة دقيقة أثناء العلاج.,
,
,
لم يتم إجراء دراسات التفاعل داخل الجسم الحي.,
استنادا إلى البيانات في المختبر لا يتوقع أي تثبيط في الجسم الحي على الانزيمات السيتوكروم P450.,
على الرغم من أن العداء بين ثنائي هيدروكلوريد بيتاهستين ومضادات الهيستامين يمكن توقعه على أساس نظري ، لم يتم الإبلاغ عن مثل هذه التفاعلات.,
,
,
حمل:,
لا توجد بيانات كافية من استخدام betahistine في النساء الحوامل.,
لا ينبغي استخدام بيتاهستين أثناء الحمل ما لم تكن هناك ضرورة واضحة.,
,
,
ليس من المعروف ما إذا كان يتم إخراج betahistine في الحليب البشري. يجب موازنة أهمية العقار للأم مع فوائد التمريض والمخاطر المحتملة للطفل.,
,
,
يُنظر إلى أن بيتاهستين ليس لها تأثيرات تذكر أو لا تُذكر على القدرة على القيادة واستخدام الآلات حيث أن أي تأثير يحتمل أن يؤثر على هذه القدرة وجد أنه مرتبط بالبيتاهستين في الدراسات السريرية","
Each film coated tablet contains: ,
Betahistine dihydrochloride ............................................................ 8 mg or 16 mg ,
Inactive ingredients: Lactose, avicel, plasidone XL, stearic acid, aerosil 200, polyvinyl pyrolidone (K90).,
,
,
Vertigo, tinnitus and hearing loss associated with Ménière's syndrome.,
,
,
Adults (including the elderly): Initially 16 mg three times daily taken preferably with meals. Maintenance doses are generally in the range 24-48 mg daily. ,
Children: No dosage recommendations.,
,
,
-Hypersensitivity to the active substance or to any of the excipients. ,
-Phaeochromocytoma.,
,
,
Caution is advised in the treatment of patients with a history of peptic ulcer. ,
Clinical intolerance to betahistine dihydrochloride in bronchial asthma patients has been shown in a relatively few patients. These patients need to be carefully monitored during the therapy.,
,
,
No in-vivo interaction studies have been performed. ,
Based on in-vitro data no in-vivo inhibition on Cytochrome P450 enzymes is expected. ,
Although an antagonism between betahistine dihydrochloride and antihistamines could be expected on a theoretical basis, no such interactions have been reported.,
,
,
Pregnancy: ,
There are no adequate data from the use of betahistine in pregnant women. ,
Betahistine should not be used during pregnancy unless clearly necessary. ,
,
It is not known whether betahistine is excreted in human milk. The importance of the drug to the mother should be weighed against the benefits of nursing and the potential risks for the child.,
,
,
Betahistine is regarded to have no or negligible effects on the ability to drive and to use machines as no effects potentially influencing this ability were found to be related to betahistine in clinical studies"
